name,DeviceProfile,new_reading,last_reading,country,latitude,longitude,battery,leakage,RSSI,pulseCounter,temperature,token,sensorType,sensorSize,valvePosition
WM-MDE-LCAD001,Water Meter,0.001,0.005,Colombia,6.034382,-75.440254,98.87,FALSE,-50,0.001,15.8,D947TJ787>B$D$V294,Distribution,6 inch,open
WM-MDE-LCAD002,Water Meter,0.001,0.005,Colombia,6.034571,-75.440065,98.87,FALSE,-50,0.001,15.8,LDTI$BHOK@NWIB6,Distribution,6 inch,open
WM-MDE-LCAD003,Water Meter,0.001,0.005,Colombia,6.03476,-75.439876,99.87,FALSE,-50,0.001,15.8,ZVBS$YXLZ@CESR8,Distribution,6 inch,open
WM-MDE-LCAD004,Water Meter,0.001,0.005,Colombia,6.034949,-75.439687,100,FALSE,-50,0.001,15.8,AOZA$WGMX@DFRT3,Distribution,6 inch,open
WM-MDE-LCAD005,Water Meter,0.001,0.005,Colombia,6.035138,-75.439498,100,FALSE,-50,0.001,15.8,EFHP$LUEI@RUZG8,Distribution,6 inch,open
WM-MDE-LCAD006,Water Meter,0.001,0.005,Colombia,6.035327,-75.439309,100,FALSE,-50,0.001,15.8,JTQK$EXCN@BDIT9,Distribution,6 inch,open
WM-MDE-LCAD007,Water Meter,0.001,0.005,Colombia,6.035516,-75.43912,100,FALSE,-50,0.001,15.8,UTHJ$QTLR@GZHR7,Distribution,6 inch,open
WM-MDE-LCAD008,Water Meter,0.001,0.005,Colombia,6.035705,-75.438931,100,FALSE,-50,0.001,15.8,ZMKA$HAKE@UMYW2,Distribution,6 inch,open
WM-MDE-LCAD009,Water Meter,0.001,0.005,Colombia,6.035894,-75.438742,100,FALSE,-50,0.001,15.8,KVEY$TMSZ@FYPN6,Distribution,6 inch,open
WM-MDE-LCAD010,Water Meter,0.001,0.005,Colombia,6.036083,-75.438553,100,FALSE,-50,0.001,15.8,FTGJ$OJXM@ENDE6,Distribution,6 inch,open
WM-MDE-LCA2901,Water Meter,0.001,0.005,Colombia,6.029081,-75.43551,99.99,FALSE,-50,0.001,19.7,N780KT121>U$D$K606,End User,1/2 inch,open
WM-MDE-LCA2902,Water Meter,0.001,0.005,Colombia,6.029329,-75.434469,99.99,FALSE,-50,0.001,19.7,Y962EP264>W$D$S317,End User,1/2 inch,open
WM-MDE-LCA2903,Water Meter,0.001,0.005,Colombia,6.029507,-75.434291,99.99,FALSE,-50,0.001,19.7,E848XB548>R$D$K247,End User,1/2 inch,open
WM-MDE-LCA2904,Water Meter,0.001,0.005,Colombia,6.029685,-75.434113,99.99,FALSE,-50,0.001,19.7,O370KH486>M$D$M405,End User,1/2 inch,open
WM-MDE-LCA2905,Water Meter,0.001,0.005,Colombia,6.029863,-75.433935,99.99,FALSE,-50,0.001,19.7,D349DJ980>O$D$R360,End User,1/2 inch,open
WM-MDE-LCA2906,Water Meter,0.001,0.005,Colombia,6.030041,-75.433757,99.99,FALSE,-50,0.001,19.7,A614VH757>Q$D$N199,End User,1/2 inch,open
WM-MDE-LCA2907,Water Meter,0.001,0.005,Colombia,6.030219,-75.433579,99.99,FALSE,-50,0.001,19.7,C443NB232>O$D$F481,End User,1/2 inch,open
WM-MDE-LCA2908,Water Meter,0.001,0.005,Colombia,6.030397,-75.433401,99.99,FALSE,-50,0.001,19.7,E717OC969>Y$D$F702,End User,1/2 inch,open
WM-MDE-LCA2909,Water Meter,0.001,0.005,Colombia,6.030575,-75.433223,99.99,FALSE,-50,0.001,19.7,H884MP986>K$D$P206,End User,1/2 inch,open
WM-MDE-LCA2910,Water Meter,0.001,0.005,Colombia,6.030753,-75.433045,99.99,FALSE,-50,0.001,19.7,U488TV299>P$D$S478,End User,1/2 inch,open
WM-MDE-LCA2911,Water Meter,0.001,0.005,Colombia,6.030931,-75.432867,99.99,FALSE,-50,0.001,19.7,B517RY757>D$D$J475,End User,1/2 inch,open
